NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
RNU6-299P	1	ENSG00000253032	
CCDC75P1	1	ENSG00000182921	
ELK2AP	1	ENSG00000213140	
TGM3	1	ENSG00000125780	
CSPG4P5	1	ENSG00000272887	
LINC02633	1	ENSG00000224265	
RPL27P8	1	ENSG00000237041	
NOS2P2	1	ENSG00000167494	
MTCO1P55	1	ENSG00000241926	
RNU6-908P	1	ENSG00000222092	
RN7SL811P	1	ENSG00000265439	
OR2A2	1	ENSG00000221989	
AL163195.2	1	ENSG00000258573	
AC087884.1	1	ENSG00000244540	
TMEM275	1	ENSG00000282881	
LINC02262	1	ENSG00000224932	
NENFP2	1	ENSG00000258288	
RNU7-63P	1	ENSG00000238417	
RN7SL178P	1	ENSG00000263616	
RN7SL173P	1	ENSG00000243373	
TPRX1	1	ENSG00000178928	
OR4E1	1	ENSG00000276240	
RN7SL185P	1	ENSG00000275776	
MTND5P10	1	ENSG00000271687	
MTND5P31	1	ENSG00000227841	
PNMA6F	1	ENSG00000225110	
OR5P2	1	ENSG00000183303	
LINC02442	1	ENSG00000256077	
PPAN-P2RY11	1	ENSG00000243207	
OR4A10P	1	ENSG00000255493	
LINC02401	1	ENSG00000257762	
LINC02355	1	ENSG00000248210	
KIAA1143P2	1	ENSG00000232766	
TRIM60	1	ENSG00000176979	
PTP4A1P1	1	ENSG00000231158	
UBQLN3	1	ENSG00000175520	
RN7SL868P	1	ENSG00000242928	
MIR5687	1	ENSG00000265135	
MIR212	1	ENSG00000267195	
CXADRP3	1	ENSG00000265766	
IL9RP4	1	ENSG00000262081	
HMGB3P13	1	ENSG00000214288	
LINC02034	1	ENSG00000282975	
RNU6-1101P	1	ENSG00000252053	
RBBP4P3	1	ENSG00000276290	
RNU6-1115P	1	ENSG00000199360	
GNAI2P1	1	ENSG00000255749	
MRPS36P5	1	ENSG00000257927	
MIR769	1	ENSG00000211580	
HMGB1P9	1	ENSG00000224159	
RN7SL826P	1	ENSG00000240151	
RNU6-912P	1	ENSG00000200670	
MRPS10P2	1	ENSG00000234325	
PDCL3P1	1	ENSG00000226301	
MIR607	1	ENSG00000207976	
MIR3691	1	ENSG00000265083	
MIR3692	1	ENSG00000266617	
MIR3681	1	ENSG00000264089	
MIR4650-1	1	ENSG00000266525	
RAP2CP1	1	ENSG00000270938	
RBMY2AP	1	ENSG00000226092	
ATP5F1AP10	1	ENSG00000277297	
ALG3P1	1	ENSG00000251568	
RNU6-1158P	1	ENSG00000212469	
MIR920	1	ENSG00000216192	
TARM1	1	ENSG00000248385	
LCE3C	1	ENSG00000244057	
KLF18	1	ENSG00000283039	
KCNK4	1	ENSG00000182450	
RN7SL442P	1	ENSG00000239221	
RNY4P20	1	ENSG00000252487	
RNY4P24	1	ENSG00000199605	
KRT18P6	1	ENSG00000258783	
CARM1P1	1	ENSG00000227835	
DLGAP2-AS1	1	ENSG00000253267	
RTP2	1	ENSG00000198471	
IGHVII-49-1	1	ENSG00000253386	
RPL5P28	1	ENSG00000235264	
GXYLT1P2	1	ENSG00000224860	
PSMD14P1	1	ENSG00000227738	
RN7SL649P	1	ENSG00000243539	
AL512361.1	1	ENSG00000258401	
SLC16A14P1	1	ENSG00000213708	
MARCHF11-AS1	1	ENSG00000250981	
CYCSP17	1	ENSG00000219627	
AL031726.1	1	ENSG00000237707	
EEF1GP2	1	ENSG00000250346	
NCOR1P1	1	ENSG00000240108	
RPL19P20	1	ENSG00000229168	
MIR7702	1	ENSG00000274263	
LY6G6D	1	ENSG00000244355	
AL050402.2	1	ENSG00000287034	
RN7SL411P	1	ENSG00000265327	
RNU7-194P	1	ENSG00000238721	
POTEB3	1	ENSG00000278522	
GLULP3	1	ENSG00000254572	
MACC1-AS1	1	ENSG00000228598	
KRT18P51	1	ENSG00000250504	
ARL2BPP6	1	ENSG00000248355	
RPS24P6	1	ENSG00000233158	
RPS15AP40	1	ENSG00000233921	
IGHD1-1	1	ENSG00000236170	
WBP1LP1	1	ENSG00000243661	
SLC6A14P1	1	ENSG00000236077	
RPS3P7	1	ENSG00000243101	
RNU6-304P	1	ENSG00000201725	
RPS23P4	1	ENSG00000240992	
DRD5P1	1	ENSG00000184303	
RNU6-578P	1	ENSG00000212282	
GOLGA8G	1	ENSG00000183629	
RPL17P25	1	ENSG00000219547	
AC005002.1	1	ENSG00000224314	
ERHP2	1	ENSG00000218143	
RPS27P26	1	ENSG00000240043	
BPESC1	1	ENSG00000232416	
LINC00658	1	ENSG00000226995	
PPIAP68	1	ENSG00000213739	
PPIAP60	1	ENSG00000226961	
SSU72P8	1	ENSG00000230268	
PRSS55	1	ENSG00000184647	
ZNF317P1	1	ENSG00000253781	
LINC01381	1	ENSG00000230452	
PRELID3BP7	1	ENSG00000250711	
RPL15P4	1	ENSG00000225499	
PSMB11	1	ENSG00000222028	
RAB28P1	1	ENSG00000226108	
LINC01300	1	ENSG00000253595	
TDGF1P3	1	ENSG00000225366	
LINC01647	1	ENSG00000235643	
LINC01672	1	ENSG00000228750	
TAS2R60	1	ENSG00000185899	
HNRNPA3P13	1	ENSG00000250826	
RNU6-1077P	1	ENSG00000222438	
LINC01548	1	ENSG00000229086	
ARHGAP42P3	1	ENSG00000235759	
LINC01532	1	ENSG00000267014	
RNU6-197P	1	ENSG00000252489	
MTND6P18	1	ENSG00000227714	
OR7A17	1	ENSG00000185385	
RPS3AP22	1	ENSG00000240083	
IGHD2-8	1	ENSG00000211925	
RNU1-94P	1	ENSG00000199497	
SCML2P1	1	ENSG00000264127	
TRAJ52	1	ENSG00000211838	
RPL35P9	1	ENSG00000174418	
TMPRSS11GP	1	ENSG00000229009	
SLC30A6P1	1	ENSG00000232277	
EEF1A1P32	1	ENSG00000213046	
IGHD4-4	1	ENSG00000233655	
LINC01101	1	ENSG00000280409	
CNOT4P1	1	ENSG00000236704	
LINC01028	1	ENSG00000267603	
URAD	1	ENSG00000183463	
MIR2909	1	ENSG00000276326	
RNU6-1215P	1	ENSG00000207170	
HNRNPA1P64	1	ENSG00000213559	
RNU6-820P	1	ENSG00000207000	
RNU6-1217P	1	ENSG00000223208	
RPS20P24	1	ENSG00000236862	
OR13H1	1	ENSG00000171054	
IGHD5-12	1	ENSG00000211921	
MIR4440	1	ENSG00000266109	
MIR4491	1	ENSG00000264032	
FAM197Y8	1	ENSG00000225560	
MIR4494	1	ENSG00000264906	
DNAJC19P6	1	ENSG00000220871	
RPL23AP14	1	ENSG00000224438	
RPL23AP19	1	ENSG00000229716	
FAM177A1P1	1	ENSG00000214886	
RPL23AP68	1	ENSG00000242850	
CENPVL1	1	ENSG00000223591	
RN7SL757P	1	ENSG00000239249	
RNU6-844P	1	ENSG00000252984	
CCDC182	1	ENSG00000166329	
MIR4307	1	ENSG00000265165	
SP3P	1	ENSG00000225530	
MIR4259	1	ENSG00000266458	
RNU6-1260P	1	ENSG00000199814	
RN7SL703P	1	ENSG00000266317	
OR5AC4P	1	ENSG00000251090	
RNU6-1020P	1	ENSG00000200554	
H3P38	1	ENSG00000259389	
SEBOX	1	ENSG00000274529	
AC068858.1	1	ENSG00000287984	
PRAMEF6	1	ENSG00000232423	
PRAMEF4	1	ENSG00000243073	
MIR4727	1	ENSG00000274054	
RNU6-1297P	1	ENSG00000207144	
MIR4716	1	ENSG00000264210	
MIR4779	1	ENSG00000265420	
MIR4670	1	ENSG00000264158	
GTF2IP8	1	ENSG00000276318	
RNA5SP33	1	ENSG00000252496	
BMS1P7	1	ENSG00000270025	
YIPF5	1	ENSG00000145817	
GOLGA1	1	ENSG00000136935	
APOA4	1	ENSG00000110244	
TOB2P1	1	ENSG00000176933	
MIR532	1	ENSG00000207758	
LDHAL6B	1	ENSG00000171989	
NHP2P2	1	ENSG00000213786	
WFDC10B	1	ENSG00000182931	
OR10P1	1	ENSG00000175398	
RN7SL78P	1	ENSG00000243782	
DDT	1	ENSG00000099977	
SMAD4	1	ENSG00000141646	
RNF225	1	ENSG00000269855	
CINP	1	ENSG00000100865	
KLF4P1	1	ENSG00000233186	
STX16	1	ENSG00000124222	
RNU6ATAC3P	1	ENSG00000210709	
SDCBPP1	1	ENSG00000226705	
AL512408.1	1	ENSG00000260063	
AC009313.1	1	ENSG00000224467	
OR7E163P	1	ENSG00000251166	
NDRG3	1	ENSG00000101079	
CCNB2P1	1	ENSG00000214998	
EEF1A1P3	1	ENSG00000232587	
ICE2P2	1	ENSG00000242705	
TPTE2P4	1	ENSG00000215506	
LINC02837	1	ENSG00000264464	
PPP1R14B-AS1	1	ENSG00000256940	
MIR3189	1	ENSG00000264175	
HNRNPA0	1	ENSG00000177733	
PRKCZ-AS1	1	ENSG00000182873	
MAGEA10	1	ENSG00000124260	
DNASE2	1	ENSG00000105612	
SOX3	1	ENSG00000134595	
NMUR2	1	ENSG00000132911	
FAM160A1-DT	1	ENSG00000251611	
SYAP1	1	ENSG00000169895	
LINC02603	1	ENSG00000230262	
LINC02471	1	ENSG00000223914	
RN7SL89P	1	ENSG00000243383	
JAZF1-AS1	1	ENSG00000234336	
RPS26P55	1	ENSG00000239210	
LINC01509	1	ENSG00000226825	
RPL7P18	1	ENSG00000243806	
LRFN5	1	ENSG00000165379	
LINC00393	1	ENSG00000224853	
LINC02338	1	ENSG00000277448	
CXADR	1	ENSG00000154639	
MXD1	1	ENSG00000059728	
LCMT1-AS2	1	ENSG00000260034	
PRELID1P6	1	ENSG00000228305	
RPL18P10	1	ENSG00000214359	
LINC00919	1	ENSG00000260268	
GRIN2B	1	ENSG00000273079	
AP002001.1	1	ENSG00000254811	
XGY1	1	ENSG00000227447	
LMBR1	1	ENSG00000105983	
BTBD6	1	ENSG00000184887	
ADAMTSL4	1	ENSG00000143382	
MIR8082	1	ENSG00000275810	
SEMG1	1	ENSG00000124233	
TBC1D16	1	ENSG00000167291	
MIP	1	ENSG00000135517	
SCLY	1	ENSG00000132330	
GCNAP1	1	ENSG00000256912	
DDI2	1	ENSG00000197312	
PSMB6	1	ENSG00000142507	
RPL5P35	1	ENSG00000214727	
LTB4R	1	ENSG00000213903	
PTPRC	1	ENSG00000081237	
RNU7-125P	1	ENSG00000238964	
CAPZA1P3	1	ENSG00000213698	
EID2	1	ENSG00000176396	
LINC00501	1	ENSG00000203645	
C4orf45	1	ENSG00000164123	
GSTM3P2	1	ENSG00000226878	
MIR3975	1	ENSG00000283514	
AL953883.1	1	ENSG00000287838	
DDX3X	1	ENSG00000215301	
INPP5A	1	ENSG00000068383	
RALBP1P2	1	ENSG00000238029	
AAAS	1	ENSG00000094914	
RN7SKP249	1	ENSG00000202360	
AL135978.1	1	ENSG00000258988	
GAPDHP47	1	ENSG00000243033	
AC092798.1	1	ENSG00000213872	
IGLV2-18	1	ENSG00000211664	
PFN1	1	ENSG00000108518	
KIF9-AS1	1	ENSG00000227398	
ELP1	1	ENSG00000070061	
AC074387.1	1	ENSG00000282033	
HDAC1P1	1	ENSG00000234724	
C5orf51	1	ENSG00000205765	
RPSAP69	1	ENSG00000233487	
MED31	1	ENSG00000108590	
POM121L6P	1	ENSG00000243307	
SPN	1	ENSG00000197471	
CLIP4	1	ENSG00000115295	
RNU7-12P	1	ENSG00000251839	
ALAS1	1	ENSG00000023330	
PCDHA8	1	ENSG00000204962	
TRIM74	1	ENSG00000155428	
MAN1A2P1	1	ENSG00000267799	
MIR5196	1	ENSG00000284034	
TREML2	1	ENSG00000112195	
VXN	1	ENSG00000169085	
LIPM	1	ENSG00000173239	
CCDC121	1	ENSG00000176714	
MTCYBP24	1	ENSG00000236232	
CHIC1	1	ENSG00000204116	
ZNF833P	1	ENSG00000267343	
PEBP4	1	ENSG00000134020	
CLDN15	1	ENSG00000106404	
AC107953.2	1	ENSG00000254278	
ASCC2	1	ENSG00000100325	
CCNQ	1	ENSG00000262919	
IGLVI-56	1	ENSG00000253126	
LINC02574	1	ENSG00000233975	
PUS1	1	ENSG00000177192	
PROP1	1	ENSG00000175325	
ASCL2	1	ENSG00000183734	
OSTN-AS1	1	ENSG00000233308	
TRAPPC1	1	ENSG00000170043	
GASAL1	1	ENSG00000253669	
KCTD15	1	ENSG00000153885	
MTATP6P16	1	ENSG00000224299	
MT-TT	1	ENSG00000210195	
INF2	1	ENSG00000203485	
RNU6-245P	1	ENSG00000206747	
AC211486.1	1	ENSG00000146722	
ARHGAP36	1	ENSG00000147256	
RPL7P52	1	ENSG00000228599	
SLFN12L	2	ENSG00000286065:ENSG00000205045	
RSF1	1	ENSG00000048649	
LSM8	1	ENSG00000128534	
PPP1R18	1	ENSG00000146112	
DBT	1	ENSG00000137992	
ONECUT3	1	ENSG00000205922	
FAM174C	1	ENSG00000228300	
UNC93B3	1	ENSG00000172971	
AC104763.1	1	ENSG00000241157	
SLAIN2	1	ENSG00000109171	
HNRNPA1P76	1	ENSG00000255141	
TTC14	1	ENSG00000163728	
OR7E37P	1	ENSG00000215480	
AC063919.2	1	ENSG00000287440	
EXOSC3	1	ENSG00000107371	
MTMR11	1	ENSG00000014914	
AL390334.1	1	ENSG00000258932	
FAR1P1	1	ENSG00000235879	
TNFSF12	1	ENSG00000239697	
RNU6-1156P	1	ENSG00000222297	
OR5C1	1	ENSG00000148215	
PRORY	1	ENSG00000183146	
CYTOR	1	ENSG00000222041	
CYP2W1	1	ENSG00000073067	
PTCD2P2	1	ENSG00000234256	
SIL1	1	ENSG00000120725	
GABRR3	1	ENSG00000183185	
TRMT6	1	ENSG00000089195	
AC009779.2	1	ENSG00000258056	
GRIA1	1	ENSG00000155511	
EFCAB12	1	ENSG00000172771	
PSG7	1	ENSG00000221878	
OR5B12	1	ENSG00000172362	
SFTPD-AS1	1	ENSG00000273372	
C2orf27AP1	1	ENSG00000273693	
TSC2	1	ENSG00000103197	
NOP56	1	ENSG00000101361	
CENPX	1	ENSG00000169689	
RPTN	1	ENSG00000215853	
MMADHC-DT	1	ENSG00000231969	
RNU6-843P	1	ENSG00000207183	
ANKRD65	1	ENSG00000235098	
FLJ31104	1	ENSG00000227908	
VPS13A-AS1	1	ENSG00000232998	
PAGE2	1	ENSG00000234068	
DOCK10	1	ENSG00000135905	
MROH7-TTC4	1	ENSG00000271723	
FAM114A2	1	ENSG00000055147	
TESC	1	ENSG00000088992	
STIM2	1	ENSG00000109689	
MFF-DT	1	ENSG00000236432	
GLP1R	1	ENSG00000112164	
RNU6-893P	1	ENSG00000238444	
CYCSP4	1	ENSG00000229120	
SPATA16	1	ENSG00000144962	
FKBP4P2	1	ENSG00000269692	
TBC1D27P	1	ENSG00000128438	
FAM184B	1	ENSG00000047662	
LY75-CD302	1	ENSG00000248672	
RNF31	1	ENSG00000092098	
PRDM5	1	ENSG00000138738	
DNAH14	1	ENSG00000185842	
MIR5696	1	ENSG00000264857	
COX10	1	ENSG00000006695	
AC007920.1	1	ENSG00000198491	
TACC2	1	ENSG00000138162	
EIF5AP4	1	ENSG00000234743	
HNRNPCP7	1	ENSG00000228653	
TLCD1	1	ENSG00000160606	
SEPTIN7P9	1	ENSG00000120555	
ZCWPW2	1	ENSG00000206559	
CRCT1	1	ENSG00000169509	
SNX18P10	1	ENSG00000279213	
BTF3P4	1	ENSG00000224820	
ANKRD18CP	1	ENSG00000159712	
NBPF21P	1	ENSG00000231382	
AC011487.3	1	ENSG00000269608	
PPIAP25	1	ENSG00000229303	
IRAK3	1	ENSG00000090376	
HAUS6P1	1	ENSG00000227344	
MICE	1	ENSG00000273340	
CPHL1P	1	ENSG00000240216	
OR6K3	1	ENSG00000203757	
AC078991.1	1	ENSG00000237730	
NALCN-AS1	1	ENSG00000233009	
MIR1296	1	ENSG00000221063	
AVP	1	ENSG00000101200	
DDX60L	1	ENSG00000181381	
GSTP1P1	1	ENSG00000257569	
CT70	1	ENSG00000230013	
CTBP1-AS	1	ENSG00000280927	
RDX	1	ENSG00000137710	
RPL3P1	1	ENSG00000228149	
OR7E26P	1	ENSG00000228547	
HSDL1	1	ENSG00000103160	
RNU6-907P	1	ENSG00000212226	
AC011890.1	1	ENSG00000181511	
GRAMD4P6	1	ENSG00000258848	
HMGN2P47	1	ENSG00000259246	
RN7SL555P	1	ENSG00000263905	
SLC9B1P3	1	ENSG00000233867	
SLC9B1P4	1	ENSG00000227367	
ZIM3	1	ENSG00000141946	
AC007557.4	1	ENSG00000237479	
VPS26CP1	1	ENSG00000213083	
OR51H2P	1	ENSG00000198217	
SRIP2	1	ENSG00000224065	
HMGN2P22	1	ENSG00000227259	
RPL36AP51	1	ENSG00000242291	
OR3B1P	1	ENSG00000237619	
COX6CP18	1	ENSG00000236041	
SLC35G4	1	ENSG00000236396	
RN7SL302P	1	ENSG00000241246	
SNORA41B	1	ENSG00000207516	
MIR1289-2	1	ENSG00000221287	
AC099654.7	1	ENSG00000283547	
LONRF2P3	1	ENSG00000258420	
LONRF2P2	1	ENSG00000233905	
VDAC1P12	1	ENSG00000227254	
RGPD4-AS1	1	ENSG00000230651	
RNU6-669P	1	ENSG00000202445	
MIR6074	1	ENSG00000276878	
RN7SL598P	1	ENSG00000243700	
RN7SL597P	1	ENSG00000244264	
KATNBL1P2	1	ENSG00000232857	
PHBP10	1	ENSG00000232665	
SNORA70E	1	ENSG00000207221	
KRT8P21	1	ENSG00000229636	
KRT8P37	1	ENSG00000213771	
KRT8P31	1	ENSG00000250148	
MIR320D2	1	ENSG00000221081	
SNORD109B	1	ENSG00000239169	
CYP3A51P	1	ENSG00000282277	
GAGE12B	1	ENSG00000236737	
NOBOX	1	ENSG00000106410	
MTCYBP40	1	ENSG00000248931	
NUDT19P4	1	ENSG00000270900	
CLUHP8	1	ENSG00000258278	
OR7E97P	1	ENSG00000179170	
PSMC1P6	1	ENSG00000240255	
RN7SL519P	1	ENSG00000243075	
PRSS3P1	1	ENSG00000250591	
RNA5SP319	1	ENSG00000199638	
RNA5SP341	1	ENSG00000252070	
RNA5SP344	1	ENSG00000223013	
RNA5SP334	1	ENSG00000201695	
RNA5SP332	1	ENSG00000212365	
RN7SL776P	1	ENSG00000240772	
RNA5SP331	1	ENSG00000201856	
RNA5SP337	1	ENSG00000252816	
RNA5SP339	1	ENSG00000212289	
RNA5SP367	1	ENSG00000252366	
RNA5SP369	1	ENSG00000223046	
RNA5SP355	1	ENSG00000202187	
RNA5SP354	1	ENSG00000212549	
RNA5SP359	1	ENSG00000201708	
RNU6-603P	1	ENSG00000223335	
RNA5SP373	1	ENSG00000253080	
CASC22	1	ENSG00000260887	
ACSL3-AS1	1	ENSG00000234193	
MRPL49P1	1	ENSG00000224296	
OR5M5P	1	ENSG00000185701	
RPL21P112	1	ENSG00000237924	
RPL21P103	1	ENSG00000241423	
PAICSP2	1	ENSG00000228595	
PAICSP6	1	ENSG00000241136	
ATP6V0E1P4	1	ENSG00000227883	
H2AZP7	1	ENSG00000253156	
RNA5SP431	1	ENSG00000222244	
RNA5SP458	1	ENSG00000251997	
RNA5SP457	1	ENSG00000200527	
TCEA1P1	1	ENSG00000197214	
RN7SL783P	1	ENSG00000265885	
TAF11L13	1	ENSG00000283776	
PIMREGP2	1	ENSG00000216425	
ZNF33CP	1	ENSG00000235197	
RNU6ATAC34P	1	ENSG00000221806	
GPR32	1	ENSG00000142511	
HSD17B7P1	1	ENSG00000232908	
CYP2A7P1	1	ENSG00000213908	
RNA5SP513	1	ENSG00000201518	
RNA5SP512	1	ENSG00000201420	
AHCYP4	1	ENSG00000232992	
CFL1P8	1	ENSG00000234239	
CCNJP1	1	ENSG00000227491	
SNORA36A	1	ENSG00000206948	
RNU6ATAC36P	1	ENSG00000252684	
RAC1P6	1	ENSG00000226962	
MIR1185-1	1	ENSG00000221525	
RNU6-1208P	1	ENSG00000238482	
OR5J1P	1	ENSG00000181780	
FAM243A	1	ENSG00000222018	
VN1R18P	1	ENSG00000275423	
RN7SKP260	1	ENSG00000252716	
RN7SKP261	1	ENSG00000222880	
BLOC1S5-TXNDC5	1	ENSG00000259040	
RN7SKP245	1	ENSG00000200895	
RN7SKP247	1	ENSG00000223026	
RN7SKP236	1	ENSG00000274662	
PABPC1P6	1	ENSG00000227497	
VN1R13P	1	ENSG00000216762	
RN7SL26P	1	ENSG00000242014	
MAGI2-AS1	1	ENSG00000251276	
OR5BQ1P	1	ENSG00000273228	
RN7SKP196	1	ENSG00000252076	
RN7SKP171	1	ENSG00000201287	
RN7SKP179	1	ENSG00000251935	
RN7SL135P	1	ENSG00000241964	
MIR8068	1	ENSG00000273912	
ADIPOR1P1	1	ENSG00000232497	
MIR8089	1	ENSG00000277912	
AP001042.3	1	ENSG00000287082	
RN7SL393P	1	ENSG00000243723	
FAM25BP	1	ENSG00000273225	
HCG21	1	ENSG00000233529	
RN7SKP46	1	ENSG00000251751	
OR5BR1P	1	ENSG00000255386	
RN7SKP24	1	ENSG00000251697	
RN7SKP19	1	ENSG00000251825	
DUX4L25	1	ENSG00000280337	
RN7SKP27	1	ENSG00000222616	
DUX4L33	1	ENSG00000282894	
FEZF2	1	ENSG00000153266	
IGHVIII-5-2	1	ENSG00000254053	
GJA6P	1	ENSG00000236187	
CAPZA1P5	1	ENSG00000270729	
OR1D3P	1	ENSG00000262106	
RNA5SP199	1	ENSG00000200275	
RN7SL50P	1	ENSG00000242985	
RN7SL52P	1	ENSG00000264002	
COX6B1P4	1	ENSG00000253813	
AC118758.1	1	ENSG00000233437	
RN7SL43P	1	ENSG00000275878	
OR51A9P	1	ENSG00000180723	
RN7SL44P	1	ENSG00000263841	
MOS	1	ENSG00000172680	
RNA5SP109	1	ENSG00000212312	
MIR190B	1	ENSG00000215938	
RNA5SP113	1	ENSG00000222418	
OR5M7P	1	ENSG00000254490	
MIR193B	1	ENSG00000207639	
RNA5SP136	1	ENSG00000222838	
RNA5SP163	1	ENSG00000222236	
RNA5SP166	1	ENSG00000201846	
IGHVII-78-1	1	ENSG00000253674	
KRTAP10-2	1	ENSG00000205445	
BRIX1P1	1	ENSG00000254025	
AC016575.2	1	ENSG00000286441	
EGFLAM-AS1	1	ENSG00000249491	
KCND3-IT1	1	ENSG00000232558	
RNA5SP204	1	ENSG00000201415	
TAF9P1	1	ENSG00000226353	
RNA5SP225	1	ENSG00000222806	
RNA5SP235	1	ENSG00000202281	
HSPE1P1	1	ENSG00000234878	
RNA5SP256	1	ENSG00000212280	
RNA5SP281	1	ENSG00000252313	
RNA5SP280	1	ENSG00000223162	
LINC01861	1	ENSG00000251183	
LINC01859	1	ENSG00000261558	
OR51C1P	1	ENSG00000197674	
PIGFP3	1	ENSG00000227592	
PSKH2	1	ENSG00000147613	
AKIRIN2P1	1	ENSG00000251482	
RN7SL72P	1	ENSG00000243374	
TRBV22OR9-2	1	ENSG00000234122	
CUX2P1	1	ENSG00000272436	
TBL1YP1	1	ENSG00000225624	
MRPL42P6	1	ENSG00000242810	
ACTG1P21	1	ENSG00000232672	
LINC01753	1	ENSG00000230250	
RN7SL63P	1	ENSG00000239744	
RNU6-442P	1	ENSG00000206695	
CYP2AB1P	1	ENSG00000233441	
RNU11-4P	1	ENSG00000212451	
RN7SL100P	1	ENSG00000240306	
MIR3689A	1	ENSG00000265872	
MIR3689E	1	ENSG00000266827	
MIR3689C	1	ENSG00000264744	
RN7SL98P	1	ENSG00000240613	
VN1R35P	1	ENSG00000228660	
VN1R36P	1	ENSG00000230639	
IGHVII-30-1	1	ENSG00000253491	
ELOA3D	1	ENSG00000288616	
C1orf167-AS1	1	ENSG00000177553	
RNU6-207P	1	ENSG00000206864	
RN7SKP129	1	ENSG00000222220	
ATP5MGP7	1	ENSG00000267189	
RN7SL87P	1	ENSG00000239390	
OR7E39P	1	ENSG00000273252	
MTND2P23	1	ENSG00000232631	
MTND2P24	1	ENSG00000231947	
MTND2P16	1	ENSG00000230818	
Z82209.1	1	ENSG00000230538	
MIR3929	1	ENSG00000265641	
MIR3915	1	ENSG00000263600	
LINC02706	1	ENSG00000255344	
LINC02737	1	ENSG00000256684	
CCND3P2	1	ENSG00000265836	
MIR3977	1	ENSG00000283359	
MIR3973	1	ENSG00000263389	
CYP4F10P	1	ENSG00000267241	
LINC02792	1	ENSG00000285462	
MIR133B	1	ENSG00000199080	
RNU5F-3P	1	ENSG00000200637	
SPDYE8	1	ENSG00000273520	
MIR1288	1	ENSG00000221355	
KHDC1P1	1	ENSG00000251360	
ATG4AP1	1	ENSG00000232735	
AC234779.1	1	ENSG00000227779	
LSM6P2	1	ENSG00000257730	
LINC02661	1	ENSG00000223381	
IGKV2D-14	1	ENSG00000254292	
RPS2P52	1	ENSG00000213726	
RPS2P18	1	ENSG00000231735	
UBQLN1P1	1	ENSG00000236405	
RNU7-73P	1	ENSG00000239105	
RNU6-1194P	1	ENSG00000252017	
AC093826.1	1	ENSG00000251345	
OR2J1	1	ENSG00000204702	
WBP2P1	1	ENSG00000229248	
MIR381HG	1	ENSG00000258861	
RNU6-1196P	1	ENSG00000252030	
AC090200.1	1	ENSG00000254357	
MIR376B	1	ENSG00000283556	
OR2S2	1	ENSG00000278889	
LINC00396	1	ENSG00000231428	
OR2W5	1	ENSG00000203664	
TCL1B	1	ENSG00000213231	
FKBP1AP4	1	ENSG00000282502	
SLC25A3P1	1	ENSG00000236253	
MTCO1P21	1	ENSG00000226960	
MTCO1P25	1	ENSG00000229031	
TMSB10P2	1	ENSG00000235211	
RSL24D1P9	1	ENSG00000265402	
ALG1L14P	1	ENSG00000250268	
LINC02833	1	ENSG00000258742	
AL583835.2	1	ENSG00000216621	
ZFAT-AS1	1	ENSG00000248492	
BPIFB5P	1	ENSG00000233146	
OR1L6	1	ENSG00000171459	
OR1L3	1	ENSG00000171481	
RN7SL818P	1	ENSG00000274234	
OR1P1	1	ENSG00000262085	
MIR1203	1	ENSG00000221739	
LINC02876	1	ENSG00000227011	
HIGD1AP10	1	ENSG00000254455	
DDX43P2	1	ENSG00000270763	
DBF4P2	1	ENSG00000271635	
OR4Q3	1	ENSG00000182652	
RNU7-50P	1	ENSG00000238304	
AC005702.5	1	ENSG00000287664	
LINC02231	1	ENSG00000248995	
SNX18P14	1	ENSG00000235571	
LINC02229	1	ENSG00000250313	
OR5K1	1	ENSG00000232382	
TMEM265	1	ENSG00000281991	
TMEM247	1	ENSG00000284701	
RNY1P7	1	ENSG00000207474	
RNU7-60P	1	ENSG00000251747	
RPL23P4	1	ENSG00000223903	
PPEF1-AS1	1	ENSG00000237221	
ABCD1P2	1	ENSG00000215151	
ANKRD33B-AS1	1	ENSG00000250106	
MTCO3P10	1	ENSG00000231537	
ARF4P4	1	ENSG00000231222	
MRPS17P5	1	ENSG00000274493	
LINC02215	1	ENSG00000249128	
LINC02212	1	ENSG00000249396	
SRRM1P2	1	ENSG00000242195	
MTCO3P41	1	ENSG00000237466	
KRTAP19-6	1	ENSG00000186925	
KRTAP19-8	1	ENSG00000206102	
POTEH-AS1	1	ENSG00000236666	
LINC02164	1	ENSG00000261811	
LINC02179	1	ENSG00000261623	
LINC02171	1	ENSG00000250632	
ATP5F1AP4	1	ENSG00000258877	
OR4D2	1	ENSG00000255713	
LINC02110	1	ENSG00000251518	
TLR9	1	ENSG00000239732	
LINC02129	1	ENSG00000261045	
MIR1827	1	ENSG00000221476	
LINC02191	1	ENSG00000261636	
KRTAP8-2P	1	ENSG00000233036	
OR6T1	1	ENSG00000181499	
MIR151A	1	ENSG00000254324	
CICP1	1	ENSG00000233652	
LINC02514	1	ENSG00000250042	
LINC02508	1	ENSG00000251619	
OR7G2	1	ENSG00000170923	
RNU6-273P	1	ENSG00000252746	
MTND5P22	1	ENSG00000238046	
PGBD4P5	1	ENSG00000225136	
RNY3P3	1	ENSG00000200686	
CYP11B2	1	ENSG00000179142	
AC068408.1	1	ENSG00000263611	
ZSWIM5P3	1	ENSG00000248958	
TRBV23OR9-2	1	ENSG00000229063	
BRD9P1	1	ENSG00000254736	
