gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RP11-43F13.4	   16.643470	 2.5488420	0.7019588	 3.631042	2.822796e-04	2.923914e-02
HFE2	    8.522895	-4.2143620	1.1621453	-3.626365	2.874394e-04	2.967199e-02
RPL27	41802.070000	-0.9046097	0.2495508	-3.624952	2.890153e-04	2.973319e-02
CX3CR1	  380.125000	-2.4354850	0.6731654	-3.617959	2.969350e-04	3.021088e-02
USP2	  250.744600	-1.8631980	0.5147900	-3.619335	2.953607e-04	3.021088e-02
RASSF9	  138.182000	 2.2877170	0.6324319	 3.617333	2.976540e-04	3.021088e-02
SERPIND1	   21.836040	-2.9132490	0.8051330	-3.618345	2.964927e-04	3.021088e-02
CTC-455F18.1	   24.175050	-3.3459830	0.9253903	-3.615754	2.994751e-04	3.029406e-02
RP11-567J20.2	    9.893587	 3.0282500	0.8381196	 3.613148	3.025017e-04	3.049822e-02
NMUR1	   31.879980	 1.7087600	0.4734651	 3.609052	3.073184e-04	3.081774e-02
NPTX2	  776.888500	 3.0442570	0.8435831	 3.608722	3.077087e-04	3.081774e-02
MUC13	    5.504031	 2.7817520	0.7717271	 3.604580	3.126586e-04	3.121014e-02
EFCAB1	    5.085558	 2.2623380	0.6280549	 3.602134	3.156159e-04	3.135492e-02
STK24	 3569.788000	-0.9055869	0.2514354	-3.601668	3.161824e-04	3.135492e-02
MICAL2	 2600.969000	 1.8806260	0.5224362	 3.599723	3.185562e-04	3.148710e-02
NCMAP	   57.994470	 2.9602520	0.8237544	 3.593610	3.261277e-04	3.213048e-02
FOXG1	    3.169389	 4.7991290	1.3358858	 3.592469	3.275591e-04	3.216673e-02
FBLN7	  414.008900	 1.6537550	0.4605456	 3.590860	3.295886e-04	3.226128e-02
PODXL	 3417.405000	 1.5698610	0.4375973	 3.587457	3.339190e-04	3.247845e-02
RDH16	   62.408240	-2.8356470	0.7904399	-3.587429	3.339549e-04	3.247845e-02
IGF2	   51.855690	 2.2243690	0.6203110	 3.585893	3.359264e-04	3.250176e-02
PDE4C	    2.576363	 3.2686230	0.9116051	 3.585569	3.363436e-04	3.250176e-02
Z99496.1	    2.686455	-3.7171480	1.0394787	-3.575973	3.489273e-04	3.348470e-02
NEURL1	  171.762300	 2.3762900	0.6644617	 3.576263	3.485405e-04	3.348470e-02
RP11-129M6.1	   68.599790	-3.7098060	1.0376232	-3.575292	3.498369e-04	3.348470e-02
RP11-397A15.4	    4.266157	 3.2510970	0.9100974	 3.572252	3.539248e-04	3.376911e-02
DDR1	 7594.672000	-1.4107990	0.3953846	-3.568168	3.594865e-04	3.419192e-02
RP11-392O17.1	   39.904040	 2.0030240	0.5628032	 3.559013	3.722510e-04	3.501232e-02
RP11-399B17.1	   91.363290	 1.7645710	0.4959344	 3.558073	3.735850e-04	3.501232e-02
RP11-360F5.1	   25.523150	 1.5582640	0.4376638	 3.560414	3.702707e-04	3.501232e-02
PDGFD	  764.778400	 1.6798940	0.4719971	 3.559120	3.720994e-04	3.501232e-02
CLIC6	  260.386300	 2.1235270	0.5968565	 3.557852	3.739000e-04	3.501232e-02
ITIH1	   37.060580	-3.9397790	1.1079814	-3.555817	3.768061e-04	3.517554e-02
KIF5A	   42.987350	 2.6250720	0.7387191	 3.553546	3.800753e-04	3.537156e-02
LL0XNC01-240C2.1	    4.167495	 2.4631250	0.6933156	 3.552676	3.813342e-04	3.537986e-02
SOAT2	   23.766700	 2.5514820	0.7186575	 3.550345	3.847265e-04	3.558544e-02
RPS14P4	    5.056335	-3.6255030	1.0217573	-3.548301	3.877242e-04	3.575337e-02
CCDC13-AS1	   91.530500	-2.4312670	0.6862879	-3.542634	3.961525e-04	3.639347e-02
EFCAB5	   62.827530	-1.3904980	0.3925718	-3.542022	3.970722e-04	3.639347e-02
LINC01034	    9.817822	-2.8066920	0.7926386	-3.540948	3.986926e-04	3.643159e-02
NMU	   36.276910	 2.6245130	0.7418368	 3.537857	4.033879e-04	3.663925e-02
MUCL1	   36.258020	-4.1732970	1.1795424	-3.538064	4.030722e-04	3.663925e-02
RP11-6N13.1	   28.316370	-3.1858880	0.9016771	-3.533291	4.104203e-04	3.709079e-02
BEX1	  145.929100	-3.4530390	0.9773567	-3.533039	4.108118e-04	3.709079e-02
TCTE1	   16.259310	-2.1029980	0.5958276	-3.529542	4.162800e-04	3.731769e-02
DCSTAMP	   75.861950	 2.1261790	0.6023484	 3.529816	4.158491e-04	3.731769e-02
KAT5	  836.671200	-0.6963173	0.1973091	-3.529068	4.170263e-04	3.731769e-02
SH2D1B	   31.210630	 1.8173250	0.5155114	 3.525287	4.230242e-04	3.774275e-02
RASL12	  388.558300	 1.4678380	0.4165181	 3.524068	4.249756e-04	3.780533e-02
LRRTM1	   19.229980	 3.1806760	0.9030205	 3.522263	4.278796e-04	3.794929e-02
CTB-114C7.4	   22.650900	 2.2750480	0.6461861	 3.520732	4.303579e-04	3.794929e-02
RP11-513N24.1	    2.097917	 2.8762290	0.8167796	 3.521427	4.292316e-04	3.794929e-02
TBC1D4	 4498.005000	-1.5849150	0.4504359	-3.518624	4.337902e-04	3.814075e-02
RP3-332B22.1	  135.636100	-2.6048690	0.7408073	-3.516257	4.376768e-04	3.814977e-02
GAL	  239.612400	 3.0778800	0.8751688	 3.516899	4.366196e-04	3.814977e-02
SPAG6	   29.545300	 3.1801710	0.9042009	 3.517107	4.362777e-04	3.814977e-02
RAD1P2	    2.988531	 2.1820330	0.6207116	 3.515374	4.391359e-04	3.816696e-02
RP11-148E17.1	   10.678580	-4.5908900	1.3071840	-3.512046	4.446717e-04	3.853737e-02
PAEP	  761.500400	 3.3977450	0.9681097	 3.509669	4.486651e-04	3.877235e-02
RGS22	   30.873800	 2.5993250	0.7413178	 3.506358	4.542846e-04	3.911235e-02
RP11-477J21.6	    7.074640	 2.3544200	0.6715726	 3.505830	4.551857e-04	3.911235e-02
RP11-153K16.1	    7.802834	-3.7553480	1.0715320	-3.504653	4.572032e-04	3.917441e-02
SLC16A12	   17.485050	 2.2479790	0.6416992	 3.503166	4.597624e-04	3.928241e-02
OLIG2	  300.068100	-3.1869280	0.9099293	-3.502391	4.611016e-04	3.928586e-02
CTD-3035K23.7	   52.346600	 2.1084700	0.6029156	 3.497123	4.703052e-04	3.995745e-02
POU2F3	    5.633100	 2.6354420	0.7538018	 3.496201	4.719332e-04	3.998345e-02
RAB31	 4267.584000	 1.2470470	0.3569739	 3.493386	4.769370e-04	4.029452e-02
ASS1	  534.066800	 1.7546570	0.5027410	 3.490181	4.826932e-04	4.049052e-02
KRT5	  201.410100	-3.3717540	0.9657610	-3.491292	4.806908e-04	4.049052e-02
ZNF702P	  282.370600	-2.2703960	0.6505693	-3.489860	4.832731e-04	4.049052e-02
TUBA3C	    6.169826	-4.6363230	1.3296737	-3.486812	4.888144e-04	4.084166e-02
IL31RA	   36.924460	 2.3682440	0.6803952	 3.480688	5.001272e-04	4.167176e-02
LPHN3	  214.856900	 2.7175260	0.7809354	 3.479834	5.017242e-04	4.168997e-02
LTBP1	 3714.297000	 2.0652310	0.5945792	 3.473433	5.138457e-04	4.235898e-02
CTD-2161E19.1	   24.832880	-1.0943380	0.3150464	-3.473576	5.135712e-04	4.235898e-02
CTC-338M12.13	   17.217340	-2.2421100	0.6455155	-3.473364	5.139769e-04	4.235898e-02
HMGCS2	   25.085670	-5.5832870	1.6093910	-3.469193	5.220251e-04	4.269977e-02
TRDN	    8.949881	-3.7920440	1.0931147	-3.469027	5.223473e-04	4.269977e-02
KIAA1377	  547.439500	 2.3543500	0.6785569	 3.469643	5.211503e-04	4.269977e-02
EEF1A1P11	  211.223000	-1.7776050	0.5126979	-3.467158	5.259920e-04	4.276654e-02
SLPI	  128.634100	-3.0742170	0.8865892	-3.467466	5.253911e-04	4.276654e-02
ALB	 1487.231000	-5.5142230	1.5912318	-3.465380	5.294826e-04	4.293493e-02
RP11-544M22.1	    5.475296	-4.1495990	1.1998061	-3.458558	5.430759e-04	4.391945e-02
AIM2	  922.398900	 2.3359160	0.6759849	 3.455574	5.491232e-04	4.417229e-02
EEF1A1P7	    5.149244	-2.0942070	0.6059892	-3.455849	5.485623e-04	4.417229e-02
TMEM238	   56.821100	-1.7559060	0.5084537	-3.453423	5.535211e-04	4.439976e-02
FGF7P2	   44.075030	-5.3013550	1.5353974	-3.452758	5.548869e-04	4.439976e-02
FITM1	   24.331080	-1.9939900	0.5781274	-3.449050	5.625620e-04	4.489512e-02
VTN	   99.878860	-2.2031300	0.6389387	-3.448109	5.645256e-04	4.493326e-02
FAM26E	  260.885700	 1.3411860	0.3891320	 3.446609	5.676703e-04	4.506497e-02
GABRR1	   10.284870	 3.5933720	1.0429186	 3.445496	5.700124e-04	4.513245e-02
CTD-2269F5.1	   26.427960	 2.1927380	0.6369850	 3.442370	5.766400e-04	4.532326e-02
RP5-1120P11.1	   21.914030	 1.7150580	0.4981549	 3.442820	5.756819e-04	4.532326e-02
LINC01297	   19.129680	-5.9674870	1.7336057	-3.442240	5.769178e-04	4.532326e-02
AC002128.5	    5.560315	-3.0262000	0.8795563	-3.440598	5.804292e-04	4.548099e-02
ANGPTL5	    6.479444	 2.5240810	0.7338884	 3.439325	5.831674e-04	4.557747e-02
AC083855.2	   97.893630	 1.3579090	0.3950570	 3.437249	5.876557e-04	4.571510e-02
CTD-2377D24.6	   12.061950	 2.3191900	0.6747495	 3.437113	5.879512e-04	4.571510e-02
NID1	11827.940000	 2.1151860	0.6156641	 3.435617	5.912060e-04	4.573304e-02
HCAR1	   36.872600	 2.5170510	0.7326149	 3.435708	5.910086e-04	4.573304e-02
RSPO4	   36.207410	 2.5747500	0.7498373	 3.433744	5.953058e-04	4.593270e-02
AC006059.4	   29.598330	-3.2744570	0.9543101	-3.431230	6.008510e-04	4.612523e-02
RP11-1017G21.5	  101.610100	-0.9673303	0.2818890	-3.431600	6.000314e-04	4.612523e-02
AC008038.1	10270.710000	-0.7946538	0.2318886	-3.426878	6.105640e-04	4.675220e-02
ACTBP8	    8.904016	-4.1342140	1.2078574	-3.422767	6.198724e-04	4.710719e-02
BHLHA15	  154.777800	 2.4491960	0.7155414	 3.422857	6.196662e-04	4.710719e-02
RPS4XP16	   32.845070	-0.7945899	0.2320937	-3.423574	6.180350e-04	4.710719e-02
PTGER2	  154.305600	 1.8767180	0.5486006	 3.420918	6.241019e-04	4.730974e-02
HTR1D	    5.179391	 2.3910490	0.6998352	 3.416589	6.341101e-04	4.764135e-02
CYP1B1-AS1	   42.337630	 1.7421850	0.5099621	 3.416302	6.347769e-04	4.764135e-02
ADAP1	  168.262400	 1.2063550	0.3529717	 3.417711	6.315018e-04	4.764135e-02
LINC01239	   76.151170	 3.1844010	0.9320637	 3.416506	6.343035e-04	4.764135e-02
AHSG	   44.635710	-4.7736590	1.3985972	-3.413176	6.421035e-04	4.798161e-02
XXbac-BPG154L12.4	   30.294680	-2.4776930	0.7259543	-3.413015	6.424833e-04	4.798161e-02
PLG	   37.529160	-5.7192610	1.6763685	-3.411697	6.455990e-04	4.809553e-02
OTP	    1.860773	 2.9369970	0.8619247	 3.407487	6.556410e-04	4.864286e-02
RP11-1220K2.2	   22.484440	-2.5964590	0.7620352	-3.407270	6.561624e-04	4.864286e-02
ADH4	   26.421440	-3.9769330	1.1675907	-3.406102	6.589763e-04	4.867965e-02
CTD-2410N18.3	   25.514980	-1.0690090	0.3138974	-3.405599	6.601911e-04	4.867965e-02
RP11-505P4.7	    1.667252	-2.7576400	0.8098646	-3.405063	6.614870e-04	4.867965e-02
SVEP1	  474.172900	 1.6134310	0.4743113	 3.401630	6.698530e-04	4.917567e-02
TRIM71	   85.554370	 3.4728780	1.0212083	 3.400754	6.720021e-04	4.921398e-02
RP4-539M6.22	    4.538934	 1.9504200	0.5737307	 3.399540	6.749935e-04	4.931366e-02
RIPPLY3	    8.031255	 2.9327460	0.8631872	 3.397578	6.798530e-04	4.954900e-02
RP11-26J3.1	   29.824410	 2.1866610	0.6439923	 3.395476	6.850928e-04	4.981086e-02
